,0
0,0.062058219002210535
1,0.08371632100170245
2,0.11358165999990888
3,0.14390829100011615
4,0.17477394700108562
5,0.20506231800391106
6,0.23867736299871467
7,0.262982901003852
8,0.2891860939998878
9,0.3173527990002185
10,0.34607023499847855
11,0.3900651470030425
12,0.4166439270047704
13,0.44947605799825396
14,0.4646162259959965
15,0.4995749520021491
16,0.5302365780007676
17,0.5602606589964125
18,0.6050433429991244
19,0.6204716740030563
20,0.6258086200032267
21,0.670967568999913
22,0.7262666820024606
23,0.7286875990030239
24,0.7593909510032972
25,0.8001269450032851
26,0.8405568469970603
27,0.8797210069969879
28,0.9028305210013059
29,0.9268691510005738
30,0.9640034359981655
31,0.9931587829996715
32,1.024457744002575
33,1.0957784170022933
34,1.1257760299995425
35,1.2168761680004536
36,1.2374807269952726
37,1.1700057429989101
38,1.1949078299949178
39,1.2609074250067351
40,1.281692312004452
41,1.5112981139973272
42,1.6361196309953812
43,1.4681977540021762
44,1.6522328190039843
45,1.4876339090042165
46,1.595875586004695
47,1.530516417005856
48,1.550867803998699
49,1.6301387960047578
50,1.7661119690019405
51,1.6188165490020765
52,1.6973150649937452
53,1.7189620649951394
54,1.6945712009983254
55,1.6593426749968785
56,1.6858115300055942
57,1.7172383700017235
58,1.8547383879995323
59,1.7852081780001754
60,1.8089682170029846
61,1.8375507309974637
62,1.8781482920021517
63,1.8992644050013041
64,2.0218626220012084
65,2.011761658002797
66,1.9983100600002217
67,2.020230096000887
68,2.1758523019962013
69,2.3007705559939495
70,2.4973356560003594
71,2.1348327250016155
72,2.330859354995482
73,2.433510296003078
74,2.422083131998079
75,2.5359412820034777
76,2.3358603000015137
77,2.335975490997953
78,2.438821456002188
79,2.487101899998379
80,2.3820946880005067
81,2.5866667080044863
82,2.7835166930017294
83,2.5331259750018944
84,2.70248957399599
85,2.7560105500015197
86,2.7038143830068293
87,2.7263256209989777
88,2.629858508997131
89,2.651386593999632
90,2.687008720000449
91,2.8465962460031733
92,2.7498108069994487
93,2.9271331950003514
94,2.816298617995926
95,2.831194783997489
96,2.8853013010011637
97,3.0342437609942863
98,3.0707847800003947
99,3.001519956997072
100,2.985710303997621
101,3.005020118995162
102,3.045184385999164
103,3.0711218119977275
104,3.1142382770049153
105,3.322280407002836
106,3.1653375519963447
107,3.189610335000907
108,3.214449503000651
109,3.2415059720005956
110,3.456671150997863
111,3.275689052999951
112,3.3322515890031355
113,3.359069375997933
114,3.7222796519999974
115,3.630600663003861
116,3.4555071470022085
117,3.685536826000316
118,3.790518043002521
119,3.750192915002117
120,3.5381841830021585
121,3.6086319149981136
122,3.613265667001542
123,3.6408085209986893
124,3.6687556610049796
125,3.9598724370007403
126,4.123113260997343
127,3.7609213670002646
128,3.804308441998728
129,3.812883762002457
130,3.8514053390026675
131,3.873883684995235
132,3.9098024619961507
133,3.9340935769942007
134,3.9654126780005754
135,4.250369198998669
136,4.244518756000616
137,4.288645493994409
138,4.785759477003012
139,4.623202669004968
140,4.27118191900081
141,4.781232126006216
142,4.476829925006314
143,4.439875199001108
144,4.253797356999712
145,4.924153902000398
146,4.626191054005176
147,5.0709558480011765
148,4.819474349002121
149,4.795916429997305
150,4.810911380001926
151,5.071119471998827
152,5.634247645997675
153,4.90527498099982
154,4.8164555809999
155,5.274513336000382
156,5.0269024560038815
157,4.885720465004852
158,5.218669670000963
159,4.943254738995165
160,5.265673216999858
161,5.135827897996933
162,5.229695374000585
163,5.428881225001533
164,5.32965770199371
165,5.6427756670018425
166,5.4220407860048
167,4.924247709997871
168,5.461146276000363
169,5.543015612005547
170,5.470598225001595
171,5.90614593000646
172,5.681376587002887
173,5.5521326169982785
174,5.711835721995158
175,5.510661574997357
176,5.787182846994256
177,5.285049910002272
178,6.30444369000179
179,5.714890210001613
180,5.9968210630031535
181,5.791233549003664
182,5.920478362997528
183,5.8425752200055285
184,6.057063680003921
185,6.062164547998691
186,5.655703412994626
187,5.902138411001943
188,6.574201524999808
189,6.370750435999071
190,5.867431992002821
191,6.4537953340040985
192,5.978478913995787
193,5.94198083000083
194,6.39048872100102
195,5.79899699499947
196,6.608984423997754
197,6.443159737005772
198,5.924997921996692
199,6.578831138001988
